product_key,product_id,product_number,product_name,product_line,category_id,category,subcategory,maintanance,cost,start_date,gold fact_sales.order_number,gold fact_sales.customer_key,gold fact_sales.order_date,gold fact_sales.shipping_date,gold fact_sales.due_date,gold fact_sales.sales_amount,gold fact_sales.quantity,gold fact_sales.price,,,,,
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO51477,1265,15/01/2013,22/01/2013,27/01/2013,29,1,29,,,,,
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO51654,13434,25/01/2013,01/02/2013,06/02/2013,29,1,29,,,,,
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO51906,12963,28/01/2013,04/02/2013,09/02/2013,29,1,29,,,,,
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO66088,8571,10/09/2013,17/09/2013,22/09/2013,29,1,29,,,,,
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO66196,15540,11/09/2013,18/09/2013,23/09/2013,29,1,29,,,,,
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO68771,17545,20/10/2013,27/10/2013,01/11/2013,29,1,29,,,,Row Labels,Sum of gold fact_sales.sales_amount
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO68949,429,22/10/2013,29/10/2013,03/11/2013,29,1,29,,,,Bikes,96.46%
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO71975,3788,29/11/2013,06/12/2013,11/12/2013,29,1,29,,,,Road Bikes,49.46%
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO63100,17494,30/07/2013,06/08/2013,11/08/2013,29,1,29,,,,Mountain Bikes,33.90%
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO63463,17711,02/08/2013,09/08/2013,14/08/2013,29,1,29,,,,Touring Bikes,13.10%
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO60266,332,16/06/2013,23/06/2013,28/06/2013,29,1,29,,,,Accessories,2.39%
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO74476,8604,08/01/2014,15/01/2014,20/01/2014,29,1,29,,,,Tires and Tubes,0.83%
121,529,TT-R982,Road Tire Tube,Road,AC_TT,Accessories,Tires and Tubes,Yes,1,01/07/2013,SO74539,16058,10/01/2014,17/01/2014,22/01/2014,29,1,29,,,,Helmets,0.77%
